dataset,pair_idx,protein,region,layer,mean_margin,final_model_prob1
real_PRS,5,protein2,middle,2,-0.7513209899266561,0.9864198565483093
real_PRS,5,protein2,middle,3,-0.5177539825439453,0.9864198565483093
real_PRS,5,protein2,middle,4,-0.28983977635701497,0.9864198565483093
real_PRS,5,protein2,middle,5,-0.022088050842285156,0.9864198565483093
real_PRS,5,protein2,middle,6,0.0953501303990682,0.9864198565483093
real_PRS,5,protein2,middle,7,0.2268096923828125,0.9864198565483093
real_PRS,5,protein2,middle,8,0.2150912920633952,0.9864198565483093
real_PRS,5,protein2,middle,9,0.8591978311538696,0.9864198565483093
real_PRS,5,protein2,middle,10,1.354307806491852,0.9864198565483093
real_PRS,6,protein2,n_term,0,-1.732307529449463,0.9872393012046814
real_PRS,6,protein2,n_term,1,-1.7792836661140123,0.9872393012046814
real_PRS,6,protein2,n_term,2,-1.4553354740142823,0.9872393012046814
real_PRS,6,protein2,n_term,3,-0.8565263191858927,0.9872393012046814
real_PRS,6,protein2,n_term,4,-0.6401155312856038,0.9872393012046814
real_PRS,6,protein2,n_term,5,-0.36870859464009603,0.9872393012046814
real_PRS,6,protein2,n_term,6,-0.40164980888366697,0.9872393012046814
real_PRS,6,protein2,n_term,7,0.044861920674641925,0.9872393012046814
real_PRS,6,protein2,n_term,8,-0.13980191349983215,0.9872393012046814
real_PRS,6,protein2,n_term,9,0.09261337518692017,0.9872393012046814
real_PRS,6,protein2,n_term,10,-1.3019838333129883,0.9872393012046814
real_PRS,6,protein2,c_term,0,-2.265462946891785,0.9872393012046814
real_PRS,6,protein2,c_term,1,-2.3188227653503417,0.9872393012046814
real_PRS,6,protein2,c_term,2,-0.8642620086669922,0.9872393012046814
real_PRS,6,protein2,c_term,3,-0.2808909734090169,0.9872393012046814
real_PRS,6,protein2,c_term,4,-0.24526999791463217,0.9872393012046814
real_PRS,6,protein2,c_term,5,0.19402078787485758,0.9872393012046814
real_PRS,6,protein2,c_term,6,0.6199204524358114,0.9872393012046814
real_PRS,6,protein2,c_term,7,1.5779290517171225,0.9872393012046814
real_PRS,6,protein2,c_term,8,1.8781177401542664,0.9872393012046814
real_PRS,6,protein2,c_term,9,1.842535517613093,0.9872393012046814
real_PRS,6,protein2,c_term,10,0.7984860330820084,0.9872393012046814
real_PRS,6,protein2,middle,0,-1.9065510511398316,0.9872393012046814
real_PRS,6,protein2,middle,1,-1.8947087208429971,0.9872393012046814
real_PRS,6,protein2,middle,2,-0.8879849076271057,0.9872393012046814
real_PRS,6,protein2,middle,3,-0.5672686576843262,0.9872393012046814
real_PRS,6,protein2,middle,4,-0.4195076942443848,0.9872393012046814
real_PRS,6,protein2,middle,5,-0.15797603925069173,0.9872393012046814
real_PRS,6,protein2,middle,6,-0.07399208545684814,0.9872393012046814
real_PRS,6,protein2,middle,7,0.14698017438252767,0.9872393012046814
real_PRS,6,protein2,middle,8,0.00396730105082194,0.9872393012046814
real_PRS,6,protein2,middle,9,0.5404327869415283,0.9872393012046814
real_PRS,6,protein2,middle,10,0.8299150109291077,0.9872393012046814
real_PRS,7,protein2,n_term,0,-1.4444371382395427,0.9982020854949951
real_PRS,7,protein2,n_term,1,-1.5843793233235677,0.9982020854949951
real_PRS,7,protein2,n_term,2,-1.2452717065811156,0.9982020854949951
real_PRS,7,protein2,n_term,3,-1.0235651771227519,0.9982020854949951
real_PRS,7,protein2,n_term,4,-0.5280201375484467,0.9982020854949951
real_PRS,7,protein2,n_term,5,0.014371411005655924,0.9982020854949951
real_PRS,7,protein2,n_term,6,0.3322428862253825,0.9982020854949951
real_PRS,7,protein2,n_term,7,0.5239266713460287,0.9982020854949951
real_PRS,7,protein2,n_term,8,0.6482460141181946,0.9982020854949951
real_PRS,7,protein2,n_term,9,1.5398261805375417,0.9982020854949951
real_PRS,7,protein2,n_term,10,0.820382829507192,0.9982020854949951
real_PRS,7,protein2,c_term,0,-2.192612568537394,0.9982020854949951
real_PRS,7,protein2,c_term,1,-2.2319183111190797,0.9982020854949951
real_PRS,7,protein2,c_term,2,-1.274926201502482,0.9982020854949951
real_PRS,7,protein2,c_term,3,-0.5243995984395345,0.9982020854949951
real_PRS,7,protein2,c_term,4,-0.5713981787363688,0.9982020854949951
real_PRS,7,protein2,c_term,5,-0.18471941153208415,0.9982020854949951
real_PRS,7,protein2,c_term,6,0.41863553524017333,0.9982020854949951
real_PRS,7,protein2,c_term,7,1.4122823397318522,0.9982020854949951
real_PRS,7,protein2,c_term,8,1.8127292315165202,0.9982020854949951
real_PRS,7,protein2,c_term,9,1.8564937829971313,0.9982020854949951
real_PRS,7,protein2,c_term,10,1.4298737366994223,0.9982020854949951
real_PRS,7,protein2,middle,0,-2.12183833916982,0.9982020854949951
real_PRS,7,protein2,middle,1,-2.171145534515381,0.9982020854949951
real_PRS,7,protein2,middle,2,-1.3355789661407471,0.9982020854949951
real_PRS,7,protein2,middle,3,-0.4214558760325114,0.9982020854949951
real_PRS,7,protein2,middle,4,-0.25790554682413735,0.9982020854949951
real_PRS,7,protein2,middle,5,0.3281522353490194,0.9982020854949951
real_PRS,7,protein2,middle,6,0.7040841460227967,0.9982020854949951
real_PRS,7,protein2,middle,7,1.7011635621388754,0.9982020854949951
real_PRS,7,protein2,middle,8,1.4700814247131349,0.9982020854949951
real_PRS,7,protein2,middle,9,1.6210437933603923,0.9982020854949951
real_PRS,7,protein2,middle,10,2.207256801923116,0.9982020854949951
real_PRS,8,protein2,n_term,0,-1.376416458686193,0.9685558676719666
real_PRS,8,protein2,n_term,1,-1.5855178793271383,0.9685558676719666
real_PRS,8,protein2,n_term,2,-1.0288684050242105,0.9685558676719666
real_PRS,8,protein2,n_term,3,-0.6096120198567708,0.9685558676719666
real_PRS,8,protein2,n_term,4,-0.38679157892862953,0.9685558676719666
real_PRS,8,protein2,n_term,5,-0.10228434403737387,0.9685558676719666
real_PRS,8,protein2,n_term,6,-0.14789768060048422,0.9685558676719666
real_PRS,8,protein2,n_term,7,-0.1547124703725179,0.9685558676719666
real_PRS,8,protein2,n_term,8,0.4770143270492554,0.9685558676719666
real_PRS,8,protein2,n_term,9,0.7062036355336507,0.9685558676719666
real_PRS,8,protein2,n_term,10,0.48486150105794273,0.9685558676719666
real_PRS,8,protein2,c_term,0,-1.6140178561210632,0.9685558676719666
real_PRS,8,protein2,c_term,1,-1.8217778305212657,0.9685558676719666
real_PRS,8,protein2,c_term,2,-1.1679316520690919,0.9685558676719666
real_PRS,8,protein2,c_term,3,-1.0082019805908202,0.9685558676719666
real_PRS,8,protein2,c_term,4,-0.9566040992736816,0.9685558676719666
real_PRS,8,protein2,c_term,5,-0.4913438479105631,0.9685558676719666
real_PRS,8,protein2,c_term,6,-0.42621555328369143,0.9685558676719666
real_PRS,8,protein2,c_term,7,-0.4936588605244954,0.9685558676719666
real_PRS,8,protein2,c_term,8,-0.2313174883524577,0.9685558676719666
real_PRS,8,protein2,c_term,9,-0.20888821283976236,0.9685558676719666
real_PRS,8,protein2,c_term,10,0.1987122853597005,0.9685558676719666
real_PRS,8,protein2,middle,0,-1.7010131299495697,0.9685558676719666
real_PRS,8,protein2,middle,1,-1.867113337914149,0.9685558676719666
real_PRS,8,protein2,middle,2,-0.9977565924326579,0.9685558676719666
real_PRS,8,protein2,middle,3,-0.6323289553324382,0.9685558676719666
real_PRS,8,protein2,middle,4,-0.22077000935872396,0.9685558676719666
real_PRS,8,protein2,middle,5,0.18468186060587566,0.9685558676719666
real_PRS,8,protein2,middle,6,0.03783416748046875,0.9685558676719666
real_PRS,8,protein2,middle,7,-0.039662806193033855,0.9685558676719666
real_PRS,8,protein2,middle,8,0.20815614064534504,0.9685558676719666
real_PRS,8,protein2,middle,9,0.20174716313680013,0.9685558676719666
