pair_idx,protein,region,direction,baseline_margin,patched_margin,shift
20,protein2,peak,random_into_real,-1.9932918548583984,-2.0226869583129883,-0.029395103454589844
20,protein2,control,real_into_random,3.0267438888549805,3.016448974609375,-0.010294914245605469
20,protein2,control,random_into_real,-1.9932918548583984,-1.9876775741577148,0.005614280700683594
21,protein1,peak,real_into_random,-0.5183248519897461,-0.5214786529541016,-0.0031538009643554688
21,protein1,peak,random_into_real,2.7000818252563477,2.6854476928710938,-0.014634132385253906
21,protein1,control,real_into_random,-0.5183248519897461,-0.518829345703125,-0.0005044937133789062
21,protein1,control,random_into_real,2.7000818252563477,2.6981773376464844,-0.0019044876098632812
21,protein2,peak,real_into_random,-0.5183248519897461,-0.11874866485595703,0.39957618713378906
21,protein2,peak,random_into_real,2.7000818252563477,2.69488525390625,-0.005196571350097656
21,protein2,control,real_into_random,-0.5183248519897461,-0.5210332870483398,-0.00270843505859375
21,protein2,control,random_into_real,2.7000818252563477,2.7066421508789062,0.006560325622558594
22,protein1,peak,real_into_random,-1.2044258117675781,-1.212778091430664,-0.008352279663085938
22,protein1,peak,random_into_real,2.424196243286133,2.4082107543945312,-0.015985488891601562
22,protein1,control,real_into_random,-1.2044258117675781,-1.2035932540893555,0.0008325576782226562
22,protein1,control,random_into_real,2.424196243286133,2.408869743347168,-0.015326499938964844
22,protein2,peak,real_into_random,-1.2044258117675781,-1.206766128540039,-0.0023403167724609375
22,protein2,peak,random_into_real,2.424196243286133,2.4264326095581055,0.0022363662719726562
22,protein2,control,real_into_random,-1.2044258117675781,-1.209946632385254,-0.005520820617675781
22,protein2,control,random_into_real,2.424196243286133,2.4286909103393555,0.004494667053222656
23,protein1,peak,real_into_random,-1.7053604125976562,-1.746896743774414,-0.04153633117675781
23,protein1,peak,random_into_real,2.950712203979492,2.9524450302124023,0.0017328262329101562
23,protein1,control,real_into_random,-1.7053604125976562,-1.705087661743164,0.0002727508544921875
23,protein1,control,random_into_real,2.950712203979492,2.9544830322265625,0.0037708282470703125
23,protein2,peak,real_into_random,-1.7053604125976562,-1.7024478912353516,0.0029125213623046875
23,protein2,peak,random_into_real,2.950712203979492,2.9518327713012695,0.0011205673217773438
