dataset,pair_idx,region,layer,mean_margin
RRS,2,n_term,7,-0.9742392222086589
RRS,2,n_term,8,-0.8799541791280111
RRS,2,n_term,9,-0.6538909594217936
RRS,2,n_term,10,-0.6774120966593424
RRS,2,middle,0,-1.6199970920880635
RRS,2,middle,1,-1.694907816251119
RRS,2,middle,2,-1.2278096755345662
RRS,2,middle,3,-0.7547899564107259
RRS,2,middle,4,-0.6033320109049479
RRS,2,middle,5,-0.548664653301239
RRS,2,middle,6,-0.5483925660451253
RRS,2,middle,7,-0.4789639790852865
RRS,2,middle,8,-0.37001234690348306
RRS,2,middle,9,-0.4428892453511556
RRS,2,middle,10,-0.7613029797871907
RRS,2,c_term,0,-1.611804974079132
RRS,2,c_term,1,-1.7021495342254638
RRS,2,c_term,2,-0.7284980932871501
RRS,2,c_term,3,-0.420263131459554
RRS,2,c_term,4,-0.32359320322672525
RRS,2,c_term,5,0.1477080980936686
RRS,2,c_term,6,0.22646497090657552
RRS,2,c_term,7,0.1122266451517741
RRS,2,c_term,8,0.3593674023946126
RRS,2,c_term,9,0.35570427576700847
RRS,2,c_term,10,0.4049634615580241
RRS,3,n_term,0,-1.1873685936133067
RRS,3,n_term,1,-1.2609585007031758
RRS,3,n_term,2,-1.0545704205830893
RRS,3,n_term,3,-0.8648621559143066
RRS,3,n_term,4,-0.577064037322998
RRS,3,n_term,5,-0.1451990137497584
RRS,3,n_term,6,-0.21150351762771608
RRS,3,n_term,7,-0.18843122323354086
RRS,3,n_term,8,-0.10206686655680339
RRS,3,n_term,9,-0.1963372548421224
RRS,3,n_term,10,-0.5988087336222331
RRS,3,middle,0,-1.0833359678586325
RRS,3,middle,1,-1.0567229310671489
RRS,3,middle,2,-0.8237758437792461
RRS,3,middle,3,-0.8065656026204427
RRS,3,middle,4,-0.4705752531687419
RRS,3,middle,5,-0.45075079600016277
RRS,3,middle,6,-0.6165307044982911
RRS,3,middle,7,-0.5181310017903645
RRS,3,middle,8,-0.5963160514831543
RRS,3,middle,9,-0.3481045405069987
RRS,3,middle,10,-0.194480037689209
RRS,3,c_term,0,-1.144637139638265
RRS,3,c_term,1,-1.187212085723877
RRS,3,c_term,2,-0.8058517773946127
RRS,3,c_term,3,-0.6177191416422526
RRS,3,c_term,4,-0.33544562657674154
RRS,3,c_term,5,-0.1375239054361979
RRS,3,c_term,6,-0.2629556655883789
RRS,3,c_term,7,-0.1759447733561198
RRS,3,c_term,8,-0.10628992716471354
RRS,3,c_term,9,-0.20144402186075847
RRS,3,c_term,10,-0.25115693410237633
RRS,4,n_term,0,-1.437872346242269
RRS,4,n_term,1,-1.5078234553337098
RRS,4,n_term,2,-1.4987825870513916
RRS,4,n_term,3,-1.120463784535726
RRS,4,n_term,4,-0.9182809511820476
RRS,4,n_term,5,-0.8835679451624553
RRS,4,n_term,6,-0.936395772298177
RRS,4,n_term,7,-0.8926384925842286
RRS,4,n_term,8,-0.7226189931233724
RRS,4,n_term,9,-0.6620623270670573
RRS,4,n_term,10,-0.6669497807820638
RRS,4,middle,0,-1.8431547005971274
RRS,4,middle,1,-1.8977462927500406
RRS,4,middle,2,-0.8153116544087727
RRS,4,middle,3,-0.41204970677693686
RRS,4,middle,4,-0.31526613235473633
