dataset,pair_idx,region,layer,mean_margin,final_model_prob1
real_PRS,2,middle,3,-0.7736262639363607,0.9939464926719666
real_PRS,2,middle,4,-1.0525094191233317,0.9939464926719666
real_PRS,2,middle,5,-0.39409061272939044,0.9939464926719666
real_PRS,2,middle,6,-0.12781713803609213,0.9939464926719666
real_PRS,2,middle,7,0.7333420554796855,0.9939464926719666
real_PRS,2,middle,8,0.557022213935852,0.9939464926719666
real_PRS,2,middle,9,0.7848493893941243,0.9939464926719666
real_PRS,2,middle,10,0.18900659879048665,0.9939464926719666
real_PRS,3,n_term,0,-1.2515762646993,0.9695648550987244
real_PRS,3,n_term,1,-1.465892998377482,0.9695648550987244
real_PRS,3,n_term,2,-1.1087026119232177,0.9695648550987244
real_PRS,3,n_term,3,-0.9972033818562825,0.9695648550987244
real_PRS,3,n_term,4,-0.9155296007792155,0.9695648550987244
real_PRS,3,n_term,5,-0.032515839735666914,0.9695648550987244
real_PRS,3,n_term,6,0.038617114226023354,0.9695648550987244
real_PRS,3,n_term,7,0.13958286841710407,0.9695648550987244
real_PRS,3,n_term,8,0.22324858903884887,0.9695648550987244
real_PRS,3,n_term,9,0.2908254305521647,0.9695648550987244
real_PRS,3,n_term,10,-0.7404460906982422,0.9695648550987244
real_PRS,3,c_term,0,-2.161089793841044,0.9695648550987244
real_PRS,3,c_term,1,-2.0650275548299155,0.9695648550987244
real_PRS,3,c_term,2,-1.747477134068807,0.9695648550987244
real_PRS,3,c_term,3,-0.6625850836435954,0.9695648550987244
real_PRS,3,c_term,4,-0.4707227945327759,0.9695648550987244
real_PRS,3,c_term,5,0.38946075439453126,0.9695648550987244
real_PRS,3,c_term,6,0.35651445388793945,0.9695648550987244
real_PRS,3,c_term,7,0.9752792199452718,0.9695648550987244
real_PRS,3,c_term,8,1.126880160967509,0.9695648550987244
real_PRS,3,c_term,9,2.030973743398984,0.9695648550987244
real_PRS,3,c_term,10,1.944437026977539,0.9695648550987244
